Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Trend
3/1/2012,166.100006,167.720001,165.75,166.610001,166.610001,19200700,137.309998,137.990005,136.929993,137.729996,119.614723,145023500,12952.29004,13032.66992,12943.05957,12980.29981,12980.29981,139670000,76.75,77.849998,75.699997,77,74.869125,683100,1.3312,1.3327,1.3357,1.3281,0,126.2,123,128.4,122.49,260750,1,1
3/2/2012,166.229996,166.830002,165.630005,166.339996,166.339996,9298100,137.639999,137.820007,137,137.309998,119.249947,120638300,12980.75,12997.50977,12927.76953,12977.57031,12977.57031,93900000,76.550003,76.949997,74.300003,74.5,72.438309,619500,1.3203,1.3314,1.3335,1.3188,0,123.65,126.16,126.16,123.12,196630,0,0
3/5/2012,165.770004,165.910004,164.550003,165.649994,165.649994,12071400,137.100006,137.199997,136.279999,136.75,118.763596,140765000,12977.33984,12977.33984,12883.91016,12962.80957,12962.80957,108630000,73.900002,74.050003,70.5,71.400002,69.42411,822700,1.3218,1.319,1.3241,1.3159,1,123.8,123.37,124.66,122.66,166570,1,1
3/6/2012,162.149994,162.809998,161.779999,162.699997,162.699997,15533200,135.350006,135.429993,134.360001,134.75,117.02668,202129900,12958.65039,12958.73047,12734.86035,12759.15039,12759.15039,142330000,69.400002,70.5,68.449997,70.449997,68.500389,772200,1.3115,1.32199999999999,1.3227,1.3102,0,121.98,124.39,124.39,121.59,233270,0,0
3/7/2012,162.759995,164.020004,162.509995,163.630005,163.630005,9553300,135.059998,135.910004,134.929993,135.690002,117.843025,143692200,12756.12012,12857.73047,12751.50977,12837.33008,12837.33008,175110000,70.25,70.900002,69,70.599998,68.646248,657600,1.315,1.3116,1.3165,1.3096,1,124.12,122.19,124.45,121.99,199250,1,1
3/8/2012,164.740005,165.550003,164.050003,165.279999,165.279999,8858200,136.520004,137.320007,136.240005,137.039992999999,119.015457,116968900,12835.53027,12937.19043,12835.53027,12907.94043,12907.94043,103530000,71.849998,71.949997,70.400002,70.650002,68.69487,554900,1.3271,1.3147,1.3292,1.3134,1,125.44,124.05,126.34,123.8,191530,1,1
3/9/2012,163.639999,166.570007,163.25,166.380005,166.380005,13698200,137.300003,137.929993,137.130005,137.570007,119.475792,122836800,12908.62012,12968.79004,12906.42969,12922.01953,12922.01953,103240000,70.75,72.5,70.25,71.050003,69.083786,652300,1.3114,1.3281,1.3283,1.3096,0,125.98,125.48,126.37,124.69,140590,1,1
3/12/2012,165.330002,165.580002,164.399994,165.070007,165.070007,6523800,137.550003,137.759995,137.089996,137.580002,119.484436,104003500,12920.58008,12976.36035,12919.98047,12959.70996,12959.70996,100000000,70.699997,71.599998,69.949997,71.050003,69.083786,594500,1.3155,1.3112,1.31599999999999,1.3079,1,125.34,125.84,125.98,124.2,151690,0,0
3/13/2012,163.940002,165.410004,161.429993,162.300003,162.300003,20047000,138.320007,140.130005,138.089996,140.059998,121.638229,184090500,12953.2002,13180.40039,12953.12988,13177.67969,13177.67969,163130000,70.050003,72.25,70.050003,70.75,68.792084,591100,1.3084,1.315,1.3193,1.3052,0,126.22,125.5,126.79,125,133720,1,1
3/14/2012,159.610001,160.580002,158.800003,159.570007,159.570007,28822100,140.100006,140.449997,139.479996,139.910004,121.50798,145163600,13177.15039,13221.26953,13166.25,13194.09961,13194.09961,163610000,69.25,69.550003,66.25,67.199997,65.34034,1258700,1.3029,1.3078,1.3092,1.301,0,124.97,126.12,126.68,124.64,106670,0,0
